Azizul Zahid,,,,,,,,,,,,,,,,,,,,,,,,
Wrap:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
random seed:,1707325706,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,,,,,18,,,,,,,
Rule:,4.13E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
10,6,1,0.264,0.153846154,0.832722637,0.619382195,2.405516006,Fixed and homogenous,,,,,,,,,,,,,,,,
11,8,1,0.144,0.076923077,0.594619344,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,5,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,14,,,,,,,,,,,,,,,,,,,,,,,
Rule:,2.23E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.91176831,2.075869297,0.609369496,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,1,3,0.968,0.846153846,2.008787104,2.199687795,0.718587409,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,10,3,0.92,0.769230769,2.120390367,2.23739741,0.831228617,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,8,3,0.8,0.692307692,2.174014062,2.199687795,0.951317552,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,2,3,0.752,0.615384615,2.120390367,2.075869297,1.083109843,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,12,3,0.744,0.538461538,2.121440404,1.987773371,1.249745338,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,7,3,0.6,0.461538462,2.055034094,1.88109476,1.361071001,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,6,3,0.448,0.384615385,1.855634091,1.700439718,1.588486007,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,11,3,0.424,0.307692308,1.811102917,1.505876256,1.764137283,Chaotic and no pattern,,,,,,,,,,,,,,,,
9,4,3,0.304,0.230769231,1.349517916,1.145110414,2.094373392,Chaotic and no pattern,,,,,,,,,,,,,,,,
10,9,3,0.224,0.153846154,0.978028471,0.773228349,2.728263839,Chaotic and no pattern,,,,,,,,,,,,,,,,
11,3,1,0.144,0.076923077,0.594619344,0.391243564,3.427411234,Fixed and homogenous,,,,,,,,,,,,,,,,
12,5,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,15,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.43E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.631006905,2.133937566,0.556778524,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,5,3,0.848,0.846153846,2.049740014,2.257756064,0.663963676,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,9,3,0.768,0.769230769,2.059104763,2.257756064,0.772854808,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,6,3,0.616,0.692307692,2.086379134,2.257756064,0.891235288,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,11,3,0.592,0.615384615,2.020811595,2.133937566,0.969715853,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,4,3,0.472,0.538461538,1.88182595,2.045841641,1.106211536,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,2,3,0.424,0.461538462,1.7884717,1.88109476,1.271973157,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,1,3,0.4,0.384615385,1.724148769,1.700439718,1.498198265,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,3,1,0.32,0.307692308,1.368808395,1.352030102,1.801970112,Fixed and homogenous,,,,,,,,,,,,,,,,
9,10,1,0.272,0.230769231,1.113597933,0.991264261,2.031944666,Fixed and homogenous,,,,,,,,,,,,,,,,
10,8,1,0.152,0.153846154,0.614822757,0.619382195,2.432991235,Fixed and homogenous,,,,,,,,,,,,,,,,
11,12,1,0.144,0.076923077,0.594619344,0.391243564,3.442762858,Fixed and homogenous,,,,,,,,,,,,,,,,
12,7,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,16,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.13E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,1,0.992,0.923076923,1.879999264,1.987773371,0.504143589,Fixed and homogenous,,,,,,,,,,,,,,,,
1,9,1,0.912,0.846153846,2.14684172,2.133937566,0.622748987,Fixed and homogenous,,,,,,,,,,,,,,,,
2,11,1,0.888,0.769230769,2.191653429,2.199687795,0.741541393,Fixed and homogenous,,,,,,,,,,,,,,,,
3,1,1,0.864,0.692307692,2.210258499,2.16197818,0.869015068,Fixed and homogenous,,,,,,,,,,,,,,,,
4,7,3,0.72,0.615384615,2.273982669,2.133937566,1.0076057,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,3,2,0.64,0.538461538,2.193059166,1.987773371,1.170754748,"Mixed of periodic and homogenous, but periodic pattern dominants",,,,,,,,,,,,,,,,
6,6,1,0.488,0.461538462,1.918605866,1.88109476,1.361071001,Fixed and homogenous,,,,,,,,,,,,,,,,
7,8,1,0.368,0.384615385,1.475443305,1.546593564,1.571950535,Fixed and homogenous,,,,,,,,,,,,,,,,
8,10,1,0.32,0.307692308,1.258258776,1.352030102,1.888357479,Fixed and homogenous,,,,,,,,,,,,,,,,
9,2,1,0.272,0.230769231,1.158813715,1.145110414,2.127883833,Fixed and homogenous,,,,,,,,,,,,,,,,
10,5,1,0.128,0.153846154,0.595100682,0.773228349,2.423984807,Fixed and homogenous,,,,,,,,,,,,,,,,
11,12,1,0.12,0.076923077,0.529360865,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,4,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,17,,,,,,,,,,,,,,,,,,,,,,,
Rule:,2.24E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.871952924,2.10390991,0.49572596,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,3,3,0.912,0.846153846,2.111255341,2.199687795,0.608905908,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,1,3,0.888,0.769230769,2.152879657,2.23739741,0.714112926,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,9,3,0.808,0.692307692,1.964744856,1.987773371,0.779479286,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,7,3,0.664,0.615384615,1.921708202,1.922023143,0.904208347,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,10,3,0.616,0.538461538,1.871987512,1.833927218,1.051958886,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,4,3,0.496,0.461538462,1.778309783,1.727248606,1.198283924,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,5,3,0.352,0.384615385,1.328321045,1.546593564,1.403364726,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,6,3,0.2,0.307692308,0.926151933,1.352030102,1.620319496,Pattern but mostly chaotic,,,,,,,,,,,,,,,,
9,11,3,0.176,0.230769231,0.863202779,1.145110414,1.970676308,Pattern but mostly chaotic,,,,,,,,,,,,,,,,
10,2,1,0.128,0.153846154,0.595100682,0.773228349,2.423984807,Fixed and homogenous,,,,,,,,,,,,,,,,
11,8,1,0.008,0.076923077,0.067221545,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,12,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,18,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.23E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.575259597,1.987773371,0.498730058,Chaotic,,,,,,,,,,,,,,,,
1,11,3,0.968,0.846153846,1.549298697,1.833927218,0.59576374,Chaotic,,,,,,,,,,,,,,,,
2,6,4,0.816,0.769230769,1.883877984,1.922023143,0.715145302,Has some localized periodic pattern,,,,,,,,,,,,,,,,
3,2,3,0.768,0.692307692,1.906487238,1.884313528,0.834639802,Chaotic,,,,,,,,,,,,,,,,
4,1,3,0.744,0.615384615,1.920344307,1.884313528,0.970796376,Chaotic,,,,,,,,,,,,,,,,
5,4,3,0.624,0.538461538,1.843069746,1.738149333,1.118327417,Chaotic,,,,,,,,,,,,,,,,
6,8,3,0.504,0.461538462,1.772982124,1.669180337,1.301308103,Chaotic,,,,,,,,,,,,,,,,
7,7,3,0.36,0.384615385,1.280698713,1.334679141,1.518876207,Chaotic,,,,,,,,,,,,,,,,
8,10,3,0.312,0.307692308,1.151708295,1.140115679,1.688939058,Chaotic,,,,,,,,,,,,,,,,
9,12,3,0.304,0.230769231,1.138893861,0.991264261,2.080006398,Chaotic,,,,,,,,,,,,,,,,
10,3,1,0.224,0.153846154,0.978028471,0.773228349,2.728263839,Fixed and homogenous,,,,,,,,,,,,,,,,
11,9,1,0.144,0.076923077,0.594619344,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,5,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,19,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.42E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.888638497,2.16197818,0.55304871,Chaotic,,,,,,,,,,,,,,,,
1,4,3,0.872,0.846153846,1.990469624,2.16197818,0.616612618,Chaotic,,,,,,,,,,,,,,,,
2,6,1,0.72,0.769230769,2.059219071,2.199687795,0.730496055,Fixed and homogenous,,,,,,,,,,,,,,,,
3,11,1,0.696,0.692307692,2.066084076,2.199687795,0.840879782,Fixed and homogenous,,,,,,,,,,,,,,,,
4,10,1,0.648,0.615384615,1.863812311,1.922023143,0.911375545,Fixed and homogenous,,,,,,,,,,,,,,,,
5,3,1,0.568,0.538461538,1.834335868,1.833927218,1.03453377,Fixed and homogenous,,,,,,,,,,,,,,,,
6,8,1,0.448,0.461538462,1.679792616,1.669180337,1.171318273,Fixed and homogenous,,,,,,,,,,,,,,,,
7,2,1,0.4,0.384615385,1.597493157,1.546593564,1.367828681,Fixed and homogenous,,,,,,,,,,,,,,,,
8,1,1,0.376,0.307692308,1.53178487,1.352030102,1.620319496,Fixed and homogenous,,,,,,,,,,,,,,,,
9,5,1,0.232,0.230769231,0.997093854,0.991264261,1.896205718,Fixed and homogenous,,,,,,,,,,,,,,,,
10,9,1,0.152,0.153846154,0.614822757,0.619382195,2.391139814,Fixed and homogenous,,,,,,,,,,,,,,,,
11,12,1,0.144,0.076923077,0.594619344,0.391243564,3.452484387,Fixed and homogenous,,,,,,,,,,,,,,,,
12,7,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,20,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.43E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.85011352,2.133937566,0.556778524,Chaotic,,,,,,,,,,,,,,,,
1,1,3,0.968,0.846153846,1.944321824,2.257756064,0.677717287,Chaotic,,,,,,,,,,,,,,,,
2,2,3,0.92,0.769230769,1.899779452,2.199687795,0.783641999,Chaotic,,,,,,,,,,,,,,,,
3,5,2,0.776,0.692307692,2.044509494,2.16197818,0.859506853,Has some periodic pattern line,,,,,,,,,,,,,,,,
4,9,1,0.696,0.615384615,2.002365335,2.038159682,0.93789916,Fixed and homogenous,,,,,,,,,,,,,,,,
5,6,3,0.544,0.538461538,1.852900474,1.891995487,1.072387245,Chaotic,,,,,,,,,,,,,,,,
6,12,3,0.536,0.461538462,1.794595138,1.573402452,1.224816685,Chaotic,,,,,,,,,,,,,,,,
7,4,3,0.416,0.384615385,1.366667649,1.238901257,1.416245088,Chaotic,,,,,,,,,,,,,,,,
8,3,1,0.336,0.307692308,1.251976102,1.140115679,1.688939058,Fixed and homogenous,,,,,,,,,,,,,,,,
9,11,1,0.312,0.230769231,1.206135606,0.991264261,2.080006398,Fixed and homogenous,,,,,,,,,,,,,,,,
10,10,1,0.264,0.153846154,1.095146613,0.773228349,2.728263839,Fixed and homogenous,,,,,,,,,,,,,,,,
11,7,1,0.12,0.076923077,0.529360865,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,8,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,21,,,,,,,,,,,,,,,,,,,,,,,
Rule:,1.14E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,2,0.992,0.923076923,1.72917612,2.038159682,0.689526836,Periodic and sustain little bit later,,,,,,,,,,,,,,,,
1,7,2,0.848,0.846153846,2.126596993,2.133937566,0.802610368,Periodic and sustain little bit later,,,,,,,,,,,,,,,,
2,6,3,0.696,0.769230769,2.188589917,2.133937566,0.916044492,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,8,3,0.576,0.692307692,1.824148479,1.884313528,1.064097213,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,11,3,0.552,0.615384615,1.805158052,1.884313528,1.163904139,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,9,3,0.472,0.538461538,1.519842944,1.738149333,1.341209173,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,3,3,0.392,0.461538462,1.388921413,1.573402452,1.52648891,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,5,3,0.248,0.384615385,0.859079725,1.238901257,1.493929773,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,12,3,0.24,0.307692308,0.795040279,0.89049164,1.662870159,Chaotic and no pattern,,,,,,,,,,,,,,,,
9,10,3,0.192,0.230769231,0.705636606,0.779349837,1.999181586,Chaotic and no pattern,,,,,,,,,,,,,,,,
10,4,3,0.072,0.153846154,0.373343321,0.619382195,2.506450109,Chaotic and no pattern,,,,,,,,,,,,,,,,
11,1,1,0.048,0.076923077,0.277839574,0.391243564,3.427411234,Fixed and homogenous,,,,,,,,,,,,,,,,
12,2,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,22,,,,,,,,,,,,,,,,,,,,,,,
Rule:,4.23E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.884619331,2.075869297,0.599282812,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,7,3,0.848,0.846153846,2.03775545,2.133937566,0.70088845,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,8,3,0.728,0.769230769,2.089438112,2.199687795,0.822132552,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,9,3,0.648,0.692307692,2.089438112,2.16197818,0.890400778,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,2,3,0.6,0.615384615,1.943811066,2.038159682,1.009658555,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,1,4,0.576,0.538461538,1.920791534,1.987773371,1.170754748,Though has some chaotic characteristics but also has localized periodic pattern,,,,,,,,,,,,,,,,
6,5,2,0.432,0.461538462,1.627932805,1.88109476,1.361071001,Periodic and tilted version,,,,,,,,,,,,,,,,
7,4,3,0.312,0.384615385,1.437823928,1.700439718,1.483664882,Chaotic with some pattern,,,,,,,,,,,,,,,,
8,3,1,0.232,0.307692308,1.067597126,1.352030102,1.779953113,Fixed and homogenous,,,,,,,,,,,,,,,,
9,11,1,0.208,0.230769231,0.912436984,0.991264261,2.12510736,Fixed and homogenous,,,,,,,,,,,,,,,,
10,12,1,0.2,0.153846154,0.880936151,0.773228349,2.838589981,Fixed and homogenous,,,,,,,,,,,,,,,,
11,10,1,0.152,0.076923077,0.614822757,0.391243564,3.427411234,Fixed and homogenous,,,,,,,,,,,,,,,,
12,6,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,23,,,,,,,,,,,,,,,,,,,,,,,
Rule:,4.23E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.896485361,2.199687795,0.593198728,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,3,3,0.912,0.846153846,1.979977178,2.199687795,0.714112926,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,5,3,0.768,0.769230769,2.159155648,2.199687795,0.779479286,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,1,3,0.744,0.692307692,2.145382221,2.199687795,0.904208347,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,6,3,0.592,0.615384615,2.052561678,2.075869297,0.979891355,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,11,3,0.568,0.538461538,2.014484799,1.987773371,1.127907672,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,12,3,0.56,0.461538462,1.999971054,1.823026491,1.28997057,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,7,3,0.416,0.384615385,1.529380986,1.488525295,1.416245088,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,4,3,0.296,0.307692308,1.313439354,1.352030102,1.654954238,Chaotic and no pattern,,,,,,,,,,,,,,,,
9,10,3,0.248,0.230769231,1.055906597,0.991264261,2.031944666,Chaotic and no pattern,,,,,,,,,,,,,,,,
10,2,1,0.2,0.153846154,0.916118214,0.773228349,2.545638427,Fixed and homogenous,,,,,,,,,,,,,,,,
11,8,1,0.08,0.076923077,0.40217919,0.391243564,3.442762858,Fixed and homogenous,,,,,,,,,,,,,,,,
12,9,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,24,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.43E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.700741536,1.88109476,0.487416375,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,7,3,0.848,0.846153846,1.951369769,1.88109476,0.556778524,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,10,3,0.8,0.769230769,2.019869878,1.987773371,0.677717287,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,4,3,0.68,0.692307692,2.090042073,2.038159682,0.802610368,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,1,3,0.656,0.615384615,2.088331081,2.038159682,0.93789916,Chaotic and no pattern,,,,,,,,,,,,,,,,
5,11,3,0.632,0.538461538,2.081466076,1.987773371,1.090900655,Chaotic and no pattern,,,,,,,,,,,,,,,,
6,12,3,0.624,0.461538462,2.070827249,1.823026491,1.249745338,Chaotic and no pattern,,,,,,,,,,,,,,,,
7,2,3,0.576,0.384615385,1.854792585,1.488525295,1.436030872,Chaotic and no pattern,,,,,,,,,,,,,,,,
8,6,3,0.424,0.307692308,1.375239039,1.140115679,1.588486007,Chaotic and no pattern,,,,,,,,,,,,,,,,
9,5,3,0.28,0.230769231,0.855450811,0.779349837,1.888357479,Chaotic and no pattern,,,,,,,,,,,,,,,,
10,8,3,0.16,0.153846154,0.634309555,0.619382195,2.405516006,Chaotic and no pattern,,,,,,,,,,,,,,,,
11,3,1,0.08,0.076923077,0.40217919,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,9,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,25,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.41E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,2,0.992,0.923076923,1.753494073,2.199687795,0.637296781,Little bit periodic,,,,,,,,,,,,,,,,
1,1,2,0.968,0.846153846,1.753494073,2.199687795,0.760141788,Little bit periodic,,,,,,,,,,,,,,,,
2,4,2,0.848,0.769230769,2.005077399,2.23739741,0.831228617,Fisrt localixzed and then sustained pereiodic pattern,,,,,,,,,,,,,,,,
3,7,2,0.704,0.692307692,1.942261528,2.199687795,0.951975001,Fisrt localixzed and then sustained pereiodic pattern,,,,,,,,,,,,,,,,
4,3,4,0.624,0.615384615,1.914256778,2.133937566,1.037384617,Localized periodic pattern,,,,,,,,,,,,,,,,
5,9,4,0.544,0.538461538,1.819362642,1.987773371,1.127907672,Localized periodic pattern,,,,,,,,,,,,,,,,
6,11,4,0.52,0.461538462,1.802061306,1.88109476,1.290386409,Localized periodic pattern,,,,,,,,,,,,,,,,
7,2,1,0.472,0.384615385,1.666006897,1.700439718,1.498198265,Fixed and homogenous,,,,,,,,,,,,,,,,
8,10,1,0.424,0.307692308,1.427648391,1.352030102,1.708987463,Fixed and homogenous,,,,,,,,,,,,,,,,
9,6,1,0.272,0.230769231,1.158813715,1.145110414,2.094373392,Fixed and homogenous,,,,,,,,,,,,,,,,
10,8,1,0.152,0.153846154,0.660038539,0.773228349,2.728263839,Fixed and homogenous,,,,,,,,,,,,,,,,
11,5,1,0.008,0.076923077,0.067221545,0.391243564,3.449057477,Fixed and homogenous,,,,,,,,,,,,,,,,
12,12,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,26,,,,,,,,,,,,,,,,,,,,,,,
Rule:,2.23E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.878265283,2.10390991,0.487170696,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,3,3,0.912,0.846153846,2.138226772,2.199687795,0.608905908,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,10,3,0.864,0.769230769,2.13300756,2.23739741,0.714112926,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,11,2,0.84,0.692307692,2.154612364,2.199687795,0.831228617,Chaotic and no pattern,,,,,,,,,,,,,,,,
4,2,1,0.792,0.615384615,2.070183646,2.133937566,0.951317552,Fixed and homogenous,,,,,,,,,,,,,,,,
5,8,1,0.672,0.538461538,2.021848897,1.987773371,1.090900655,Fixed and homogenous,,,,,,,,,,,,,,,,
6,12,2,0.664,0.461538462,1.9932682,1.823026491,1.249745338,Periodic though has some homogenous state ,,,,,,,,,,,,,,,,
7,4,1,0.544,0.384615385,1.939957347,1.700439718,1.470110255,Fixed and homogenous,,,,,,,,,,,,,,,,
8,9,1,0.464,0.307692308,1.829697996,1.505876256,1.764137283,Fixed and homogenous,,,,,,,,,,,,,,,,
9,7,1,0.32,0.230769231,1.323205166,1.145110414,1.970676308,Fixed and homogenous,,,,,,,,,,,,,,,,
10,5,1,0.176,0.153846154,0.772383768,0.773228349,2.467532468,Fixed and homogenous,,,,,,,,,,,,,,,,
11,6,1,0.024,0.076923077,0.163345543,0.391243564,3.442762858,Fixed and homogenous,,,,,,,,,,,,,,,,
12,1,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,27,,,,,,,,,,,,,,,,,,,,,,,
Rule:,3.44E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.624162412,2.075869297,0.562822625,Chaotic and no pattern,,,,,,,,,,,,,,,,
1,10,3,0.944,0.846153846,1.746794136,2.133937566,0.681737854,Chaotic and no pattern,,,,,,,,,,,,,,,,
2,7,3,0.8,0.769230769,1.931058071,2.133937566,0.742359053,Chaotic and no pattern,,,,,,,,,,,,,,,,
3,4,4,0.68,0.692307692,1.990080627,2.16197818,0.869015068,Localized periodic pattern,,,,,,,,,,,,,,,,
4,12,4,0.672,0.615384615,1.93582056,1.884313528,0.984650815,Localized periodic pattern,,,,,,,,,,,,,,,,
5,11,4,0.648,0.538461538,1.930548407,1.833927218,1.142717018,Localized periodic pattern,,,,,,,,,,,,,,,,
6,8,1,0.528,0.461538462,1.638090918,1.669180337,1.331984538,Fixed and homogenous,,,,,,,,,,,,,,,,
7,9,1,0.448,0.384615385,1.51917124,1.488525295,1.440873313,Fixed and homogenous,,,,,,,,,,,,,,,,
8,2,1,0.4,0.307692308,1.462933179,1.352030102,1.72315881,Fixed and homogenous,,,,,,,,,,,,,,,,
9,1,1,0.376,0.230769231,1.316172509,0.991264261,2.12510736,Fixed and homogenous,,,,,,,,,,,,,,,,
10,6,1,0.224,0.153846154,0.978028471,0.773228349,2.838589981,Fixed and homogenous,,,,,,,,,,,,,,,,
11,5,1,0.08,0.076923077,0.40217919,0.391243564,3.452484387,Fixed and homogenous,,,,,,,,,,,,,,,,
12,3,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,28,,,,,,,,,,,,,,,,,,,,,,,
Rule:,1.24E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
